Who,What to order this week,Qty,Factory site,Exact product page,Email / how to arrange,Say this when you contact
OTW / Anzewei,WT-43-BK-LORA committee base ONLY,1,https://www.ontheway-tech.com/,https://www.ontheway-tech.com/product/wt-43-bk-lora-module/,Lucaszhang@ontheway-tech.com,LIVE $55 = R897.66. ONLY BK+RK from OTW. LoRa 433 or 868 — set on PO. BK x1 + RK x2. Pay by 16 Sep. See OTW_ONLY_WT43_LOCK.md
OTW / Anzewei,WT-43-RK-LORA rover (boat+mark) ONLY,2,https://www.ontheway-tech.com/,https://www.ontheway-tech.com/product/wt-43-rk-lora/,Lucaszhang@ontheway-tech.com,LIVE $40 = R652.85 ea ×2 = R1305.70. Same PO as BK. No other OTW SKUs.
Ebyte Chengdu,E73-2G4M08S1F nRF54L15 module,2,https://www.cdebyte.com/,https://ebyteiot.com/products/ebyte-e71-e73-series-soc-wireless-communication-module-low-power-2-4ghz-tl7215d-nrf54l15-chip-multi-protocol-8-10dbm-test-board?variant=48515417702605,ebyteiot@cdebyte.com,Order E73-2G4M08S1F x2. Cart also https://ebyteiot.com/ . Alt JLCPCB https://jlcpcb.com/partdetail/57638535-E732G4M08S1F/C54337734
Direct China OEM (Temu = spec example only),H9-13 waterproof housing (full door case not skeleton cage),2,Find factory <R80/ea,Temu spec example: Hero 9-13 underwater case 45m,RFQ Made-in-China / Ali factory chat,Temu shows the part. Do NOT pay Temu. Direct supplier under R80. Qty 2 = first puck + spare. Boat puck only — not committee/marks.
AliExpress,LiPo + TP4056 x4,4,https://www.aliexpress.com/,https://www.aliexpress.com/w/wholesale-3.7v-lipo-battery-1000mah.html,Pay on AliExpress,Also https://www.aliexpress.com/w/wholesale-tp4056.html
AliExpress,Survey GNSS antenna + pole,1,https://www.aliexpress.com/,https://www.aliexpress.com/w/wholesale-rtk-gnss-survey-antenna.html,Pay on AliExpress,For committee line-end antenna.
AliExpress,IP67 dry box,1,https://www.aliexpress.com/,https://www.aliexpress.com/w/wholesale-ip67-plastic-waterproof-box.html,Pay on AliExpress,Committee box — not GoPro.
AliExpress,USB power bank,1,https://www.aliexpress.com/,https://www.aliexpress.com/w/wholesale-20000mah-power-bank.html,Pay on AliExpress,Committee power.
AliExpress,USB-UART CP2102,1,https://www.aliexpress.com/,https://www.aliexpress.com/w/wholesale-cp2102-usb-ttl.html,Pay on AliExpress,Committee to laptop.
Nordic via Mouser,nRF54L15 DK (lab only),1,https://www.nordicsemi.com/Products/Development-hardware/nRF54L15-DK,https://www.mouser.com/ProductDetail/Nordic-Semiconductor/nRF54L15-DK,Pay on Mouser,Lab firmware board. Not inside puck.
Dragino (addon),LPS8v2 gateway AS923,1,https://www.dragino.com/,https://www.dragino.com/products/lora-lorawan-gateway/item/228-lps8v2.html,sales@dragino.com · shop https://shop.dragino.com/index.php?product_id=266&rt=product/product,Order AS923. Future add-on not race core.
Dragino (addon),TrackerD,2,https://www.dragino.com/,https://www.dragino.com/products/tracker/item/234-trackerd.html,sales@dragino.com · shop https://shop.dragino.com/index.php?product_id=164&rt=product/product,AS923. Asset tag not RTK.
Dragino (addon),LA66 module AS923,2,https://www.dragino.com/,https://www.dragino.com/products/lora/item/230-la66-lorawan-module.html,sales@dragino.com · shop https://shop.dragino.com/index.php?product_id=159&rt=product/product,AS923.
Dragino (addon),BCN02 beacon,5,https://www.dragino.com/,https://www.dragino.com/products/tracker/item/243-bcn02.html,sales@dragino.com · shop https://shop.dragino.com/index.php?product_id=157&rt=product/product,~$15 each on shop.
Moko (addon),LW001-BG PRO tracker,1,https://www.mokosmart.com/,https://www.mokosmart.com/lorawan-tracker-lw001-bg-pro/,sales@mokosmart.com · store https://store.mokosmart.com/product/lw001-bg-pro-lorawan-gps-tracker/,Ask AS923. A/B vs TrackerD.
Moko (addon),LW003-B BLE-LoRaWAN,1,https://www.mokosmart.com/,https://www.mokosmart.com/lorawan-probe-lw003-b/,sales@mokosmart.com · store https://store.mokosmart.com/product/lw003b-bluetooth-to-lorawan-gateway/,Skip Dragino BH01 if this is bought.
Moko (addon),H2 beacon,5,https://www.mokosmart.com/,https://www.mokosmart.com/navigation-beacon-h2/,sales@mokosmart.com · store https://store.mokosmart.com/product/h2-navigation-beacon/,Optional if BCN02 already ordered.
