Pay by Tue?,Block,#,Device,Qty,Factory,Product URL,How to pay,USD ea,USD line,~R line,Note
YES - MUST,RACE CORE,1,WT-43-BK-LORA,1,Anzewei / OTW,https://www.ontheway-tech.com/product/wt-43-bk-lora-module/,Email Lucaszhang@ontheway-tech.com then pay factory,55,55,880,LIVE sample quote 14 Sep: $55/pc. OTW ONLY this + RK. LoRa settable 433 or 868 — state band on PO.
YES - MUST,RACE CORE,2,WT-43-RK-LORA,2,Anzewei / OTW,https://www.ontheway-tech.com/product/wt-43-rk-lora/,Same OTW PO as #1,40,80,1280,LIVE sample quote 14 Sep: $40/pc. 1 boat + 1 mark. OTW ONLY this + BK — see OTW_ONLY_WT43_LOCK.md
YES - MUST,RACE CORE,3,E73-2G4M08S1F nRF54L15 module,2,Ebyte,https://www.cdebyte.com/products/E73-2G4M08S1F,ebyteiot@cdebyte.com or ebyteiot.com cart,5.6-6.4,11-13,180-205,Puck BLE MCU. Alt https://jlcpcb.com/partdetail/57638535-E732G4M08S1F/C54337734
YES - MUST,RACE CORE,4,H9-13 GoPro clone waterproof housing,1,AliExpress OEM,https://www.aliexpress.com/w/wholesale-gopro-hero9-hero10-hero11-hero12-hero13-waterproof-housing.html,AliExpress checkout,5-6.5,5-6.5,80-104,NOT official GoPro ADDIV-001.
YES - MUST,RACE CORE,5,LiPo 1000mAh + TP4056 charge board,3,AliExpress,https://www.aliexpress.com/w/wholesale-3.7v-lipo-battery-1000mah.html,AliExpress checkout,3.7-6.1,11-18,177-293,Also https://www.aliexpress.com/w/wholesale-tp4056.html — 1 committee + 1 boat + 1 mark. Flat pack.
YES - MUST,RACE CORE,6,Multi-band survey GNSS antenna + pole,1,AliExpress,https://www.aliexpress.com/w/wholesale-rtk-gnss-survey-antenna.html,AliExpress checkout,15-40,15-40,240-640,Antenna ON start-line committee end.
YES - MUST,RACE CORE,7,IP67 dry box,1,AliExpress,https://www.aliexpress.com/w/wholesale-ip67-plastic-waterproof-box.html,AliExpress checkout,5-15,5-15,80-240,Committee enclosure — not a GoPro.
YES - MUST,RACE CORE,8,USB power bank,1,AliExpress,https://www.aliexpress.com/w/wholesale-20000mah-power-bank.html,AliExpress checkout,10-25,10-25,160-400,Or boat 12V USB.
YES - MUST,RACE CORE,9,USB-UART CP2102 (or Pi Zero 2 W),1,AliExpress / Pi,https://www.aliexpress.com/w/wholesale-cp2102-usb-ttl.html,AliExpress checkout,5-15,5-15,80-240,Committee UART to laptop. Pi alt https://www.raspberrypi.com/products/raspberry-pi-zero-2-w/
YES - LAB,LAB,10,nRF54L15 DK,1,Nordic / Mouser,https://www.mouser.com/ProductDetail/Nordic-Semiconductor/nRF54L15-DK,Mouser card pay,~58,~58,~928,Firmware lab only — not inside puck.
SKIP THIS WEEK,LAB,11,nRF54L15 Tag,0,Nordic / Mouser,https://www.mouser.com/ProductDetail/Nordic-Semiconductor/nRF54L15-Tag,skip,~31,0,0,Bow CS experiment — skip if tight.
SKIP THIS WEEK,RACE CORE,12,E22-400M22S 433 MHz LoRa,0,Ebyte,https://www.cdebyte.com/products/E22-400M22S,skip,~6,0,0,Not needed while WT-43 has LoRa.
YES - ADDON,DRAGINO,13,LPS8v2 Indoor LoRaWAN Gateway AS923,1,Dragino,https://www.dragino.com/products/lora-lorawan-gateway/item/228-lps8v2.html,https://shop.dragino.com/index.php?product_id=266&rt=product/product,shop cart,shop cart,shop cart,Venue LoRaWAN sandbox. MUST pick AS923. Title verified LPS8v2.
