Skipper Name,Crew Name,Sail Number,Yacht Club,Entry Type
Alistair Clulow,,4664,HMYC,Dart 18 Single
Aydin OHara,Tristan Elliot,,SYC,Dart 18 Double Youth
Bart Fokkens,,3816,HMYC,Dart 18 Single
Ben Mienie,Ciara,113,SYC,Dart 18 Double
Bradley Levin,,7951,SYC,Dart 18 Single
Bradley Stemmett,Saskia,,VYC,Dart 18 Double
Calvin Brown,,7046,SYC,Dart 18 Single
Charles Akerman,,5416,HMYC,Dart 18 Double
Clinton Wissekerke,Madison Wissekerke,7909,ZYC,Dart 18 Double
Gavin Smit,,3269,HMYC,Dart 18 Single
Graham Weyer,,,Vogelvlei YC,Dart 18 Double
Gregg Dobson,N/A,5179,HMYC,Dart 18 Single
Gregory Hoy,,5419,HMYC,Dart 18 Single
Sietse veenstra,,3845,HMYC,Dart 18 Single
Joaquim Bernardes,,4541,TCC,Dart 18 Single
Keagan Nel,James Tanner,5402,SYC,Dart 18 Double
Kim Phillips,,4665,HMYC,Dart 18 Double
Kyle Boman,,,TCC,Dart 18 Single
Kyle Neumann,Luc Neumann,7838,SYC,Dart 18 Double
Lorrian Wells,,520,HMYC,Dart 18 Single
Mark Kopel,,4355,SYC,Dart 18 Single
Mark Webber,,3642,HMYC,Dart 18 Single
Marthinus Myburgh,,5205,HMYC,Dart 18 Single
Mathew Olsen,Daniel,,HMYC,Dart 18 Double Youth
Neil Greyling,Charlotte Greyling,7037,HMYC,Dart 18 Double
Nick Smart,,,HMYC,Dart 18 Single
Nick Somerville,,3599,HMYC,Dart 18 Single
Nigel Dunning,Matthew Dunninbg,5036,HMYC,Dart 18 Double
Owen Hemingway,Ian Hemingway,3343,HMYC,Dart 18 Double
Richard Tanner,Jo Tanner,3772,SYC,Dart 18 Double
Rien Constant,,4216,HMYC,Dart 18 Single
Shellee Nel,Alexander Tanner,7770,SYC,Dart 18 Double
Stephan Proudfoot,,4537,HMYC,Dart 18 Single
Steve Hegerstrom,,5770,HMYC,Dart 18 Double
Vaughan Koopman,,3731,HMYC,Dart 18 Single
Vernon Brown,,7929,SYC,Dart 18 Single
