New quals added (were not already in member_roles table)
Run: 2026-03-07T16:23:08.019157+00:00Z
Count: 947

SAS_ID	role_code	role_label
59	APPT_EXAM	Appointed Examiner
66	APPT_EXAM	Appointed Examiner
119	APPT_EXAM	Appointed Examiner
157	APPT_EXAM	Appointed Examiner
158	APPT_EXAM	Appointed Examiner
236	APPT_EXAM	Appointed Examiner
363	APPT_EXAM	Appointed Examiner
600	APPT_EXAM	Appointed Examiner
615	APPT_EXAM	Appointed Examiner
1401	APPT_EXAM	Appointed Examiner
1641	APPT_EXAM	Appointed Examiner
1655	APPT_EXAM	Appointed Examiner
1661	APPT_EXAM	Appointed Examiner
1687	APPT_EXAM	Appointed Examiner
1929	APPT_EXAM	Appointed Examiner
2132	APPT_EXAM	Appointed Examiner
2671	APPT_EXAM	Appointed Examiner
2750	APPT_EXAM	Appointed Examiner
3165	APPT_EXAM	Appointed Examiner
3217	APPT_EXAM	Appointed Examiner
3360	APPT_EXAM	Appointed Examiner
4684	APPT_EXAM	Appointed Examiner
6511	APPT_EXAM	Appointed Examiner
8778	APPT_EXAM	Appointed Examiner
8936	APPT_EXAM	Appointed Examiner
9358	APPT_EXAM	Appointed Examiner
9482	APPT_EXAM	Appointed Examiner
17137	APPT_EXAM	Appointed Examiner
25675	APPT_EXAM	Appointed Examiner
11901	APPT_EXAM	Appointed Examiner
1744	APPT_EXAM	Appointed Examiner
2616	APPT_EXAM	Appointed Examiner
121	APPT_EXAM	Appointed Examiner
1685	APPT_EXAM	Appointed Examiner
1691	APPT_EXAM	Appointed Examiner
1710	APPT_EXAM	Appointed Examiner
3752	APPT_EXAM	Appointed Examiner
5083	APPT_EXAM	Appointed Examiner
9013	APPT_EXAM	Appointed Examiner
19804	APPT_EXAM	Appointed Examiner
1928	APPT_EXAM	Appointed Examiner
59	NAT_SE_EXAM	National Senior Examiner
363	NAT_SE_EXAM	National Senior Examiner
1641	NAT_SE_EXAM	National Senior Examiner
11901	NAT_SE_EXAM	National Senior Examiner
66	NAT_SE_SAF	National Senior Safety Officer
236	NAT_SE_SAF	National Senior Safety Officer
384	NAT_SE_SAF	National Senior Safety Officer
1655	NAT_SE_SAF	National Senior Safety Officer
3165	NAT_SE_SAF	National Senior Safety Officer
8518	NAT_SE_SAF	National Senior Safety Officer
59	VSO	SA Sailing Vessel Safety Officer
66	VSO	SA Sailing Vessel Safety Officer
81	VSO	SA Sailing Vessel Safety Officer
157	VSO	SA Sailing Vessel Safety Officer
158	VSO	SA Sailing Vessel Safety Officer
236	VSO	SA Sailing Vessel Safety Officer
384	VSO	SA Sailing Vessel Safety Officer
549	VSO	SA Sailing Vessel Safety Officer
600	VSO	SA Sailing Vessel Safety Officer
1401	VSO	SA Sailing Vessel Safety Officer
1655	VSO	SA Sailing Vessel Safety Officer
1661	VSO	SA Sailing Vessel Safety Officer
1663	VSO	SA Sailing Vessel Safety Officer
1672	VSO	SA Sailing Vessel Safety Officer
1675	VSO	SA Sailing Vessel Safety Officer
1698	VSO	SA Sailing Vessel Safety Officer
1699	VSO	SA Sailing Vessel Safety Officer
1763	VSO	SA Sailing Vessel Safety Officer
1894	VSO	SA Sailing Vessel Safety Officer
1927	VSO	SA Sailing Vessel Safety Officer
3165	VSO	SA Sailing Vessel Safety Officer
5173	VSO	SA Sailing Vessel Safety Officer
5913	VSO	SA Sailing Vessel Safety Officer
6811	VSO	SA Sailing Vessel Safety Officer
8518	VSO	SA Sailing Vessel Safety Officer
9250	VSO	SA Sailing Vessel Safety Officer
9418	VSO	SA Sailing Vessel Safety Officer
9507	VSO	SA Sailing Vessel Safety Officer
9508	VSO	SA Sailing Vessel Safety Officer
