title,details_url,start_date,end_date,venue_text,category,host,location,address,nor_url,si_url,results_url,other_docs,description,contact,organiser,sas_event_id,external_host,external_event_id,is_past
2026 MSC Week,https://www.sailing.org.za/events/330403,,,>2026 MSC Week,,,,,,,,,,,,330403,,,False
MBSC Interclub,https://www.sailing.org.za/events/293438,2026-03-07,2026-03-08,>MBSC Interclub,,,,,,,,,,,,293438,,,False
Hunter 19 Mpumalanga Championship 2026,https://www.sailing.org.za/events/283415,2026-03-14,2026-03-15,>Hunter 19 Mpumalanga Championship 2026,,,,,,,,,,,,283415,,,False
Safety Boat Operators Course,https://www.sailing.org.za/events/335406,2026-03-14,2026-03-15,>Safety Boat Operators Course,,,,,,,,,,,,335406,,,False
TSC 9 Hr,https://www.sailing.org.za/events/293439,2026-03-14,2026-03-14,>TSC 9 Hr,,,,,,,,,,,,293439,,,False
SA Sailing WC Team Sailing Event,https://www.sailing.org.za/events/328007,2026-03-14,2026-03-15,>SA Sailing WC Team Sailing Event,,,,,,,,,,,,328007,,,False
2026 Hobie Tiger Nationals,https://www.sailing.org.za/events/293440,2026-03-20,2026-03-23,>2026 Hobie Tiger Nationals,,,,,,,,,,,,293440,,,False
2026 Windsurfer LT National Championship,https://www.sailing.org.za/events/346805,2026-03-20,2026-03-22,>2026 Windsurfer LT National Championship,,,,,,,,,,,,346805,,,False
2026 Interschools Gauteng Region Championship,https://www.sailing.org.za/events/283412,2026-03-21,2026-03-22,>2026 Interschools Gauteng Region Championship,,,,,,,,,,,,283412,,,False
SA Sailing WC Calendar Meeting,https://www.sailing.org.za/events/344374,2026-03-23,2026-03-23,>SA Sailing WC Calendar Meeting,,,,,,,,,,,,344374,,,False
2026 29er SA National Championship,https://www.revolutionise.com.au/29erclass/events/334371,2026-03-28,2026-03-30,"target=""_blank""",,,,,,,,,,,,,revolutionise,334371,False
Eden Interschools,https://www.sailing.org.za/events/293442,2026-03-28,2026-03-29,>Eden Interschools,,,,,,,,,,,,293442,,,False
Finn National Championships,https://www.sailing.org.za/events/325821,2026-03-28,2026-03-31,>Finn National Championships,,,,,,,,,,,,325821,,,False
MAC 24 hr,https://www.sailing.org.za/events/310945,2026-03-28,2026-03-29,>MAC 24 hr,,,,,,,,,,,,310945,,,False
Overberg Sailing Champs,https://www.sailing.org.za/events/293441,2026-03-28,2026-03-29,>Overberg Sailing Champs,,,,,,,,,,,,293441,,,False
ILCA WC Regional Championships 2026,https://www.laser.org.za/events/301648,2026-04-03,2026-04-06,"target=""_blank""",,,,,,,,,,,,,laser_org_za,301648,False
WC Dinghy Champs,https://www.sailing.org.za/events/293443,2026-04-02,2026-04-06,>WC Dinghy Champs,,,,,,,,,,,,293443,,,False
INHACA YACHT RACE,https://www.sailing.org.za/events/344419,2026-04-03,2026-04-06,>INHACA YACHT RACE,,,,,,,,,,,,344419,,,False
FBYC Easter Regatta,https://www.sailing.org.za/events/293444,2026-04-04,2026-04-05,>FBYC Easter Regatta,,,,,,,,,,,,293444,,,False
2026 Hunter Nationals,https://www.sailing.org.za/events/307333,2026-04-24,2026-04-27,>2026 Hunter Nationals,,,,,,,,,,,,307333,,,False
2026 Dragonflite 95 National Championship,https://www.sailing.org.za/events/343444,2026-04-24,2026-04-26,>2026 Dragonflite 95 National Championship,,,,,,,,,,,,343444,,,False
Stadt 23 Nationals,https://www.sailing.org.za/events/293446,2026-04-25,2026-04-27,>Stadt 23 Nationals,,,,,,,,,,,,293446,,,False
ILCA Nationals 2026,https://www.laser.org.za/events/318895,2026-04-30,2026-05-03,"target=""_blank""",,,,,,,,,,,,,laser_org_za,318895,False
2026 KZN Optimist &amp; Dabchick Regional Championship,https://www.sailing.org.za/events/344420,2026-05-01,2026-05-03,>2026 KZN Optimist &amp; Dabchick Regional Championship,,,,,,,,,,,,344420,,,False
Regional Race Officer Workshop,https://www.sailing.org.za/events/344920,2026-05-14,2026-05-14,>Regional Race Officer Workshop,,,,,,,,,,,,344920,,,False
2026 KZN Mirror Regional Championships,https://www.sailing.org.za/events/344422,2026-05-16,2026-05-17,>2026 KZN Mirror Regional Championships,,,,,,,,,,,,344422,,,False
National Race Officers Workshop,https://www.sailing.org.za/events/344922,2026-05-21,2026-05-21,>National Race Officers Workshop,,,,,,,,,,,,344922,,,False
2026 DF95 / IOM Regional Championship,https://www.sailing.org.za/events/343816,2026-05-22,2026-05-24,>2026 DF95 / IOM Regional Championship,,,,,,,,,,,,343816,,,False
ORC EC Regionals,https://www.sailing.org.za/events/336455,2026-05-23,2026-05-27,>ORC EC Regionals,,,,,,,,,,,,336455,,,False
Vasco Da Gama Ocean Race 2026,https://www.sailing.org.za/events/287148,2026-05-23,2026-05-24,>Vasco Da Gama Ocean Race 2026,,,,,,,,,,,,287148,,,False
SA Sailing EC AGM,https://www.sailing.org.za/events/344358,2026-05-23,2026-05-23,>SA Sailing EC AGM,,,,,,,,,,,,344358,,,False
SA Sailing WC AGM,https://www.sailing.org.za/events/343442,2026-06-01,2026-06-01,>SA Sailing WC AGM,,,,,,,,,,,,343442,,,False
2026 SA Sailing Free State AGM,https://www.sailing.org.za/events/344367,2026-06-10,2026-06-10,>2026 SA Sailing Free State AGM,,,,,,,,,,,,344367,,,False
TuziTekwini Ocean Race 2026,https://www.revolutionise.com.au/ksyc/events/336792,2026-06-12,2026-06-14,"target=""_blank""",,,,,,,,,,,,,revolutionise,336792,False
"2026 SA Sailing NR (Limpopo, Mpumalanga, Northwest) AGM",https://www.sailing.org.za/events/344365,2026-06-14,2026-06-14,">2026 SA Sailing NR (Limpopo, Mpumalanga, Northwest) AGM",,,,,,,,,,,,344365,,,False
2026 SA Sailing Gauteng AGM,https://www.sailing.org.za/events/344366,2026-06-17,2026-06-17,>2026 SA Sailing Gauteng AGM,,,,,,,,,,,,344366,,,False
2026 SA Sailing KZN AGM,https://www.sailing.org.za/events/297525,2026-06-29,2026-06-29,>2026 SA Sailing KZN AGM,,,,,,,,,,,,297525,,,False
2026 Flying 15 Nationals,https://www.sailing.org.za/events/344425,2026-07-18,2026-07-19,>2026 Flying 15 Nationals,,,,,,,,,,,,344425,,,False
PYC Jonsson Cup,https://www.sailing.org.za/events/344426,2026-08-15,2026-08-16,>PYC Jonsson Cup,,,,,,,,,,,,344426,,,False
SA Sailing National AGM,https://www.sailing.org.za/events/343790,2026-08-27,2026-08-27,>SA Sailing National AGM,,,,,,,,,,,,343790,,,False
2026 Gauteng dinghy provincials championships,https://www.stilbaaiyachtclub.co.za/events/342377,2026-09-05,2026-09-06,"target=""_blank""",,,,,,,,,,,,,www_stilbaaiyachtclub_co_za,342377,False
2026 Bart&#039;s Bash,https://www.sailing.org.za/events/344435,2026-09-06,2026-09-06,>2026 Bart&#039;s Bash,,,,,,,,,,,,344435,,,False
