title,details_url,start_date,end_date,start_time,end_time,venue_text,category,host,location,address,nor_url,si_url,results_url,other_docs,description,contact,organiser,sas_event_id,external_host,external_event_id,is_past
VYC&#039;s 2026 Tour de Vlei,https://www.revolutionise.com.au/vogelvleiyc/events/360168,,,,,Sat 24 - Sun 25 October 2026,Dinghy Event,,,,,,,,,,,,revolutionise,360168,False
SA Sailing Designated Safeguarding Officer (DSO) Appointments - Safeguarding Personal Clearances,https://www.sailing.org.za/events/361162,2026-05-25,2026-05-31,09:00,09:00,South African Sailing,Training,,,,,,,,,,,361162,,,False
2026 Lipton Challenge Cup,https://www.sailing.org.za/events/352526,2026-08-24,2026-08-29,09:00,09:00,Royal Cape Yacht Club,,,,,,,,,,,,352526,,,False
SA Sailing National AGM,https://www.sailing.org.za/events/343790,2026-08-27,2026-08-27,18:00,19:00,Teams,Meetings,,,,,,,,,,,343790,,,False
Safety Boat Operators Course,https://www.sailing.org.za/events/374344,2026-08-29,2026-08-30,09:00,17:00,Lake Deneys Yacht Club,Training,,,,,,,,,,,374344,,,False
2026 Gauteng Dinghy Provincial Championships,https://www.stilbaaiyachtclub.co.za/events/342377,2026-09-05,2026-09-06,09:00,16:00,Stilbaai Yacht Club,Regional Championships,,,,,,,,,,,,www_stilbaaiyachtclub_co_za,342377,False
2026 Bart&#039;s Bash,https://www.sailing.org.za/events/344435,2026-09-06,2026-09-06,10:00,15:00,Point Yacht Club,,,,,,,,,,,,344435,,,False
VULCAN CHallenge,https://www.sailing.org.za/events/370405,2026-09-12,2026-09-12,09:00,09:00,Hout Bay Yacht Club,,,,,,,,,,,,370405,,,False
DF95 WC Regional Champs,https://www.sailing.org.za/events/357903,2026-09-18,2026-09-20,09:00,09:00,Details,Regional Championships,,,,,,,,,,,357903,,,False
The Midmar Cup,https://www.hmyc.org.za/events/326017,2026-09-19,2026-09-20,09:00,16:00,Henley Midmar Yacht Club KZN,,,,,,,,,,,,,www_hmyc_org_za,326017,False
Gauteng Regionals 2026,https://www.revolutionise.com.au/dabchickca/events/358939,2026-09-24,2026-09-26,08:00,20:00,Aeolians Yacht Club,Regional Championships,,,,,,,,,,,,revolutionise,358939,False
FBYC Spring Regatta,https://www.sailing.org.za/events/357904,2026-09-24,2026-09-27,09:00,09:00,False Bay Yacht Club,Keel Boat Event,,,,,,,,,,,357904,,,False
505 Nationals,https://www.sailing.org.za/events/344427,2026-09-24,2026-09-27,09:00,16:00,Aeolians Sailing Club,Keel Boat Event,,,,,,,,,,,344427,,,False
Dart 18 Nationals incorporating the KZN provincials,https://www.hmyc.org.za/events/367984,2026-09-24,2026-09-27,11:00,14:00,Henley Midmar Yacht Club,National Championships,,,,,,,,,,,,www_hmyc_org_za,367984,False
Agulhas Race,https://www.sailing.org.za/events/357907,2026-10-02,2026-10-04,09:00,09:00,False Bay Yacht Club,Keel Boat Event,,,,,,,,,,,357907,,,False
2026 SBYC Dinghy Regatta,https://www.sailing.org.za/events/357906,2026-10-10,2026-10-11,09:00,09:00,Saldanha Bay Yacht Club,Dinghy Event,,,,,,,,,,,357906,,,False
SA Sailing Instructor Course - ITYC1026-DM,https://www.sailing.org.za/events/376204,2026-10-13,2026-10-17,09:00,17:00,Transvaal Yacht Club,Training,,,,,,,,,,,376204,,,False
Regional Race Officer Workshop,https://www.sailing.org.za/events/368460,2026-10-15,2026-10-15,17:30,19:30,Teams,,,,,,,,,,,,368460,,,False
2026 DF 95 Global Championship,https://www.sailing.org.za/events/337481,2026-10-17,2026-10-23,09:00,09:00,Theewater Sports Club,,,,,,,,,,,,337481,,,False
National Race Officers Workshop,https://www.sailing.org.za/events/368459,2026-10-22,2026-10-22,17:30,19:00,Teams,,,,,,,,,,,,368459,,,False
2026 EC Dinghy Regionals,https://www.sailing.org.za/events/373989,2026-10-31,2026-11-01,09:00,09:00,Redhouse Yacht Club,Regional Championships,,,,,,,,,,,373989,,,False
Safety Boat Operators Course,https://www.sailing.org.za/events/374352,2026-11-07,2026-11-08,09:00,17:00,Lake Deneys Yacht Club,Training,,,,,,,,,,,374352,,,False
SA Sailing Instructor Course - ISADF1126-KBO,https://www.sailing.org.za/events/376047,2026-11-10,2026-11-13,09:00,17:00,Sail Africa Youth Foundation,Training,,,,,,,,,,,376047,,,False
2026 USSA Sailing Championships,https://www.sailing.org.za/events/344430,2026-12-09,2026-12-15,09:00,09:00,Henley Midmar Yacht Club,Dinghy Event,,,,,,,,,,,344430,,,False
2026 SA Sailing Youth National Championship,https://www.sailing.org.za/events/324956,2026-12-16,2026-12-21,08:00,21:00,Lake Deneys Yacht Club,National Championships,,,,,,,,,,,324956,,,False
Cape 31 Nationals,https://www.sailing.org.za/events/372297,2026-12-16,2026-12-20,09:00,09:00,V & A Waterfront,National Championships,,,,,,,,,,,372297,,,False
Solinks &amp; flying 15&#039;s nationals and 505&#039;s regionals,https://www.hmyc.org.za/events/368073,2026-12-19,2026-12-21,11:00,16:00,Henley Midmar Yacht Club,National Championships,,,,,,,,,,,,www_hmyc_org_za,368073,False
2026 West Coast Cruise,https://www.sailing.org.za/events/353595,2026-12-26,2026-12-31,09:00,09:00,Port Owen Yacht Club,Keel Boat Event,,,,,,,,,,,353595,,,False
Port Owen River Race,https://www.sailing.org.za/events/376473,2027-01-30,2027-01-31,09:00,09:00,Port Owen Yacht Club,,,,,,,,,,,,376473,,,False
Grandslam,https://www.hmyc.org.za/events/368085,2027-02-20,2027-02-21,09:00,15:00,Henley Midmar Yacht Club,Dinghy Event,,,,,,,,,,,,www_hmyc_org_za,368085,False
Diamond Coast Race,https://www.sailing.org.za/events/376474,2027-03-20,2027-03-22,09:00,09:00,Port Owen Yacht Club,,,,,,,,,,,,376474,,,False
Easter Regatta and 9 Hour,https://www.hmyc.org.za/events/368091,2027-03-26,2027-03-29,11:00,14:00,Henley Midmar Yacht Club,Dinghy Event,,,,,,,,,,,,www_hmyc_org_za,368091,False
Hobie 16 WC Champs &amp; All Class Invitational,https://www.sailing.org.za/events/376843,2027-04-22,2027-04-24,09:00,09:00,Struisbaai,Regional Championships,,,,,,,,,,,376843,,,False
ILCA Nationals,https://www.sailing.org.za/events/372944,2027-04-24,2027-04-27,09:00,09:00,Point Yacht Club,National Championships,,,,,,,,,,,372944,,,False
Hunter nationals,https://www.hmyc.org.za/events/368096,2027-04-24,2027-04-27,11:00,15:00,Henley Midmar Yacht Club,National Championships,,,,,,,,,,,,www_hmyc_org_za,368096,False
Hobie 16 Nationals,https://www.sailing.org.za/events/376844,2027-04-25,2027-04-27,09:00,09:00,Struisbaai,National Championships,,,,,,,,,,,376844,,,False
29er Nationals,https://www.sailing.org.za/events/297902,2027-04-25,2027-04-27,09:00,09:00,Details,National Championships,,,,,,,,,,,297902,,,False
TuziTekwini Ocean Race 2027,https://www.revolutionise.com.au/ksyc/events/337130,2027-06-18,2027-06-20,18:00,18:00,King Shaka Yacht Club,Regional Championships,,,,,,,,,,,,revolutionise,337130,False
MSC Week 2026,https://www.sailing.org.za/events/330403,,,,,Saturday 4 July & Sunday 5 July - Registration 10:30 - 12:00,Keel Boat Event,,,,,,,,,,,330403,,,True
2025 Tour de Vlei,https://www.revolutionise.com.au/vogelvleiyc/events/283726,,,,,Sat 11 - Sun 12 October 2025,Dinghy Event,,,,,,,,,,,,revolutionise,283726,True
MSC Week 2025,https://www.sailing.org.za/events/281416,,,,,Saturday 5 July & Sunday 6 July - Registration &,National Championships,,,,,,,,,,,281416,,,True
Stilbaai Yacht Club - 2022 S A Sailing Youth Nationals,https://www.sailing.org.za/events/156449,,,,,Dates: 16th December 2022 to 21st December 2022,,,,,,,,,,,,156449,,,True
2022 SA SAILING YOUTH NATIONAL CHAMPIONSHIP,https://www.stilbaaiyachtclub.co.za/events/140079,,,,,Dates: 16th December 2022 to 21st December 2022,,,,,,,,,,,,,www_stilbaaiyachtclub_co_za,140079,True
SA Sailing Instructor Course - ITSA2204-D,https://www.sailing.org.za/events/132105,,,,,4 day Learn to Sailing Instructor Training for Dinghy/Multihull endorsement,Training,,,,,,,,,,,132105,,,True
Midlands Sailing School - Learn to Sail Camp,https://www.sailing.org.za/events/121058,,,,,11th January 2022 to 14th January 2022,,,,,,,,,,,,121058,,,True
Midlands Sailing School - Learn to Sail Camp,https://www.sailing.org.za/events/121056,,,,,4th January 2022 to 7th January 2022,,,,,,,,,,,,121056,,,True
Midlands Sailing School - Learn to Sail Camp,https://www.sailing.org.za/events/121055,,,,,14th December 2021 to 17th December 2021,,,,,,,,,,,,121055,,,True
Learn to Sail Camp,https://www.revolutionise.com.au/midlandsss/events/85658,,,,,14th December 2021 to 17th December 2021,,,,,,,,,,,,,revolutionise,85658,True
Midlands Sailing School - Learn to Sail Camp,https://www.sailing.org.za/events/121057,,,,,5th October to 8th October,,,,,,,,,,,,121057,,,True
Learn to Sail Camp,https://www.revolutionise.com.au/midlandsss/events/85657,,,,,5th October to 8th October,,,,,,,,,,,,,revolutionise,85657,True
SA Sailing Instructor Course - ITSA2110-D,https://www.sailing.org.za/events/111547,,,,,4 day Learn to Sailing Instructor Training for Dinghy/Multihull endorsement,Training,,,,,,,,,,,111547,,,True
Hermanus Yacht Club - SA Sailing WC Dinghy Championships 2020,https://www.sailing.org.za/events/62062,,,,,Event postponed new date to be advised,Regional Championships,,,,,,,,,,,62062,,,True
Hobie Tiger National Championship,https://www.sailing.org.za/events/44245,,,,,Event postponed. New dates to be advised,National Championships,,,,,,,,,,,44245,,,True
Admirals Regatta,https://www.sailing.org.za/events/61052,,,,,Event postponed new dates to be advised,Keel Boat Event,,,,,,,,,,,61052,,,True
Application for Recognition for SA Sailing RTC,https://www.sailing.org.za/events/67968,2019-05-01,2026-04-01,09:00,09:00,South African Sailing,National Championships,,,,,,,,,,,67968,,,True
Regatta and Race Management Workshop,https://www.sailing.org.za/events/51107,2019-05-25,2019-05-26,08:30,15:30,Victoria Lake Club,Training,,,,,,,,,,,51107,,,True
Regional AGM -NR,https://www.sailing.org.za/events/41868,2019-06-08,2019-06-08,16:30,19:00,Victoria Lake Club,Meetings,,,,,,,,,,,41868,,,True
Regional AGM -WC,https://www.sailing.org.za/events/41869,2019-06-10,2019-06-10,18:00,21:00,Royal Cape Yacht Club,Meetings,,,,,,,,,,,41869,,,True
Regional AGM -EC,https://www.sailing.org.za/events/41870,2019-06-22,2019-06-22,16:30,19:30,Algoa Bay Yacht Club,Meetings,,,,,,,,,,,41870,,,True
Regional AGM -KZN,https://www.sailing.org.za/events/41867,2019-06-22,2019-06-22,10:00,13:00,Island Sailing Club,Meetings,,,,,,,,,,,41867,,,True
MSC Week,https://www.sailing.org.za/events/44391,2019-07-01,2019-07-05,08:00,15:00,Point Yacht Club,Dinghy Event,,,,,,,,,,,44391,,,True
L26 Nationals,https://www.sailing.org.za/events/44597,2019-07-01,2019-07-05,08:00,15:00,Point Yacht Club,National Championships,,,,,,,,,,,44597,,,True
J22 Regionals,https://www.sailing.org.za/events/44598,2019-07-01,2019-07-05,08:00,15:00,Point Yacht Club,Regional Championships,,,,,,,,,,,44598,,,True
Sailing Youth World Championships 2019,https://www.sailing.org.za/events/41877,2019-07-13,2019-07-19,08:00,23:00,Gdansk,Youth Events,,,,,,,,,,,41877,,,True
SASKZN Grandslam,https://www.sailing.org.za/events/44600,2019-07-20,2019-07-21,08:00,15:00,Point Yacht Club,Dinghy Event,,,,,,,,,,,44600,,,True
SASWC Intasure Interschools Dinghy Regatta,https://www.sailing.org.za/events/44262,2019-07-27,2019-07-28,08:00,15:00,Imperial Yacht Club,Interschools,,,,,,,,,,,44262,,,True
SASNR Club Safety Workshop and Surveyors Course,https://www.sailing.org.za/events/45522,2019-07-27,2019-07-28,09:00,04:00,Victoria Lake Club,,,,,,,,,,,,45522,,,True
Lipton Challenge Cup,https://www.sailing.org.za/events/44242,2019-08-04,2019-08-10,08:00,15:00,Royal Cape Yacht Club,Keel Boat Event,,,,,,,,,,,44242,,,True
SASNR Combined Keelboat  Provincials,https://www.sailing.org.za/events/42167,2019-08-09,2019-08-11,10:00,15:00,Deneysville Aquatic Club,,,,,,,,,,,,42167,,,True
Safety Boat Operators Course,https://www.sailing.org.za/events/41873,2019-08-17,2019-08-18,09:00,18:00,Vaal Sailing Centre,Training,,,,,,,,,,,41873,,,True
Safety Boat Operators Course SBSAYF0919,https://www.sailing.org.za/events/41874,2019-08-17,2019-08-18,09:00,18:00,Sail Africa Youth Foundation,Training,,,,,,,,,,,41874,,,True
SASNR Dabchick Provincials,https://www.sailing.org.za/events/46168,2019-08-17,2019-08-18,10:00,15:00,Pretoria Sailing Club,Regional Championships,,,,,,,,,,,46168,,,True
