title,details_url,start_date,end_date,start_time,end_time,venue_text,category,host,location,address,nor_url,si_url,results_url,other_docs,description,contact,organiser,sas_event_id,external_host,external_event_id,is_past
Hunter 19 Mpumalanga Championship 2026,https://www.sailing.org.za/events/283415,2026-03-14,2026-03-15,09:00:00,09:00:00,Doornpoort AH 312-Js Emalahleni 1035,,Doornpoort AH 312-Js Emalahleni 1035,Doornpoort AH 312-Js Emalahleni 1035,Doornpoort AH 312-Js Emalahleni 1035,,,,,This event has no description.,info@sailing.org.za,,283415,,,False
Safety Boat Operators Course,https://www.sailing.org.za/events/335406,2026-03-14,2026-03-15,09:00:00,21:00:00,Union Str Deneysville  Vaal Dam,,Union Str Deneysville Vaal Dam,Union Str Deneysville  Vaal Dam,Union Str Deneysville  Vaal Dam,,,,,"Details Safety Boat Operators Course Sat 14 Mar 2026 09:00 - Sun 15 Mar 2026 21:00 Lake Deneys Yacht Club, Union Str Deneysville Vaal Dam Google &middot; Outlook &middot; iCal South African Sailing - Safety Boat Operators Course <iframe class=""card-img rounded-top-0"" height=""350"" src=""ht",info@sailing.org.za,,335406,,,False
TSC 9 Hr,https://www.sailing.org.za/events/293439,2026-03-14,2026-03-14,09:00:00,09:00:00,Theewater Sports Club,,Theewater Sports Club,Theewater Sports Club,Theewater Sports Club,,,,,"Event information TSC 9hr 14 March 2026 &copy; 2026 South African Sailing 9 Serrurier Street, Monte Vista, 7460 info@sailing.org.za <a",info@sailing.org.za,,293439,,,False
SA Sailing WC Team Sailing Event,https://www.sailing.org.za/events/328007,2026-03-14,2026-03-15,09:00:00,17:00:00,1 Grey Ave Bloubergstrand  Cape Town,,1 Grey Ave Bloubergstrand Cape Town,1 Grey Ave Bloubergstrand  Cape Town,1 Grey Ave Bloubergstrand  Cape Town,,,,,Event information &nbsp; Files for download 2026 WC Team Sailing Event - NOR &copy; 2026 South African Sailing,info@sailing.org.za,,328007,,,False
2026 Hobie Tiger Nationals,https://www.sailing.org.za/events/293440,2026-03-20,2026-03-23,09:00:00,09:00:00,Langebaan,,Langebaan,Langebaan,Langebaan,,,,,Hobie Tiger Nationals,info@sailing.org.za,,293440,,,False
2026 Windsurfer LT National Championship,https://www.sailing.org.za/events/346805,2026-03-20,2026-03-22,09:00:00,09:00:00,Kleinrivier Lagoon Hermanus  Western Cape,,Kleinrivier Lagoon Hermanus Western Cape,Kleinrivier Lagoon Hermanus  Western Cape,Kleinrivier Lagoon Hermanus  Western Cape,,,,,Event information 2026 Windsurfer LT Nationals&nbsp; Hermanus Yacht Club 20-22 March 2026 Files for download 2026 Windsurfer LT Nationals NOR &copy; 2026 South African Sailing,info@sailing.org.za,,346805,,,False
2026 Interschools Gauteng Region Championship,https://www.sailing.org.za/events/283412,2026-03-21,2026-03-22,09:00:00,16:00:00,Victoria Lake Club,,Victoria Lake Club,Victoria Lake Club,Victoria Lake Club,,,,,This event has no description.,info@sailing.org.za,,283412,,,False
SA Sailing WC Calendar Meeting,https://www.sailing.org.za/events/344374,2026-03-23,2026-03-23,18:00:00,18:00:00,Teams,,Teams,Teams,Teams,,,,,SA Sailing WC Calendar Meeting,info@sailing.org.za,,344374,,,False
2026 MSC Week,https://www.sailing.org.za/events/330403,2026-03-23,2026-03-23,09:00:00,09:00:00,Point Yacht Club,,Point Yacht Club,Point Yacht Club,,,,,,Event information Registrations for this event are not yet open. Entries open at Mon 23 Mar 2026 09:00 . &nbsp; &nbsp; &nbsp; MSC Week 2026 6-10 July Celebrating 50 years of sailing Sail Our Way! &nbsp; &nbsp; Dates: &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; 6-10 July 2026 Registration: &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; Sat 4 &amp; Sun 5 July Commodores Cup: &nbsp; &nbsp; Sun 5 July &nbsp;@ &nbsp;14:00 Opening Ceremony:&nbsp; Sun 5 July @ 18:00 MSC Week:&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; Mon 6 July - Fri 10 July Prize Giving: &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;Fri 10 July @ 18:00 Location:&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; Point Yacht Club,info@sailing.org.za,,330403,,,False
2026 29er SA National Championship,https://www.revolutionise.com.au/29erclass/events/334371,2026-03-28,2026-03-30,08:00:00,20:00:00,Saldanha Bay Yacht Club,,Saldanha Bay Yacht Club,Saldanha Bay Yacht Club,Saldanha Bay Yacht Club,https://cdn.revolutionise.com.au/events/zukfnguk2oq7qxyb.pdf,,,,Registration is open!,29ersailingsa@gmail.com,,,revolutionise,334371,False
Finn National Championships,https://www.sailing.org.za/events/325821,2026-03-28,2026-03-31,09:00:00,09:00:00,Garden Route Knysna 6570,,Garden Route Knysna 6570,Garden Route Knysna 6570,Garden Route Knysna 6570,,,,,Finn National Championships,info@sailing.org.za,,325821,,,False
Overberg Sailing Champs,https://www.sailing.org.za/events/293441,2026-03-28,2026-03-29,09:00:00,09:00:00,Theewater Sports Club,,Theewater Sports Club,Theewater Sports Club,Theewater Sports Club,,,,,Overberg Sailing Champs,info@sailing.org.za,,293441,,,False
MAC 24 hr,https://www.sailing.org.za/events/310945,2026-03-28,2026-03-29,09:00:00,09:00:00,1 Grey Ave Bloubergstrand  Cape Town,,1 Grey Ave Bloubergstrand Cape Town,1 Grey Ave Bloubergstrand  Cape Town,1 Grey Ave Bloubergstrand  Cape Town,,,,,"Event information MAC 24 hr &copy; 2026 South African Sailing 9 Serrurier Street, Monte Vista, 7460 info@sailing.org.za <a class=""cs-widget-lin",info@sailing.org.za,,310945,,,False
Eden Interschools,https://www.sailing.org.za/events/293442,2026-03-28,2026-03-29,09:00:00,09:00:00,Lake Rd Wilderness 6560 Western Cape,,Lake Rd Wilderness 6560 Western Cape,Lake Rd Wilderness 6560 Western Cape,Lake Rd Wilderness 6560 Western Cape,,,,,"Event information Eden Interschools 28-29 March 2026 &copy; 2026 South African Sailing 9 Serrurier Street, Monte Vista, 7460 info@sailing.org.za",info@sailing.org.za,,293442,,,False
ILCA WC Regional Championships 2026,https://www.laser.org.za/events/301648,2026-04-03,2026-04-06,09:00:00,17:00:00,"8a Saldanha Rd, Saldanha Harbour, Saldanha, 7395",,8a Saldanha Rd,"8a Saldanha Rd, Saldanha Harbour, Saldanha, 7395","8a Saldanha Rd, Saldanha Harbour, Saldanha, 7395",,,,,ILCA Regional Championships together with other classes,akeen.home@gmail.com,,,laser_org_za,301648,False
WC Dinghy Champs,https://www.sailing.org.za/events/293443,2026-04-02,2026-04-06,09:00:00,09:00:00,"8a Saldanha Rd, Saldanha Harbour, Saldanha, 7395",,8a Saldanha Rd,"8a Saldanha Rd, Saldanha Harbour, Saldanha, 7395","8a Saldanha Rd, Saldanha Harbour, Saldanha, 7395",,,,,Event information WC Dinghy Champs 2-6 April 2026 Files for download 2026 WC Dinghy Champs NOR 2026 WC Dinghy Champs SI <h4 class=,info@sailing.org.za,,293443,,,False
INHACA YACHT RACE,https://www.sailing.org.za/events/344419,2026-04-03,2026-04-06,09:55:00,16:30:00,"1 Commodore Close, Zululand Yacht Club, Meerensee, Richards Bay, 3901",,1 Commodore Close,"1 Commodore Close, Zululand Yacht Club, Meerensee, Richards Bay, 3901","1 Commodore Close, Zululand Yacht Club, Meerensee, Richards Bay, 3901",,,,,"Event information &nbsp; &nbsp; &copy; 2026 South African Sailing 9 Serrurier Street, Monte Vista, 7460 info@sailing.org.za <a class=""c",info@sailing.org.za,,344419,,,False
FBYC Easter Regatta,https://www.sailing.org.za/events/293444,2026-04-04,2026-04-05,09:00:00,09:00:00,King George Way Simon%27s Town 7975 Cape Town,,King George Way Simon%27s Town 7975 Cape Town,King George Way Simon%27s Town 7975 Cape Town,King George Way Simon%27s Town 7975 Cape Town,,,,,"Event information FBYC easter Regatta 4-5 April 2026 &copy; 2026 South African Sailing 9 Serrurier Street, Monte Vista, 7460 info@sailing.org.za",info@sailing.org.za,,293444,,,False
2026 Hunter Nationals,https://www.sailing.org.za/events/307333,2026-04-24,2026-04-27,08:00:00,15:00:00,Handel St Deneysville 1932,,Handel St Deneysville 1932,Handel St Deneysville 1932,Handel St Deneysville 1932,,,,,This event has no description.,info@sailing.org.za,,307333,,,False
2026 Dragonflite 95 National Championship,https://www.sailing.org.za/events/343444,2026-04-24,2026-04-26,09:00:00,09:00:00,TBC,,TBC,TBC,TBC,,,,,2026 Dragonflite 95 National Championship,info@sailing.org.za,,343444,,,False
Stadt 23 Nationals,https://www.sailing.org.za/events/293446,2026-04-25,2026-04-27,09:00:00,09:00:00,Theewater Sports Club,,Theewater Sports Club,Theewater Sports Club,Theewater Sports Club,,,,,This event has no description.,info@sailing.org.za,,293446,,,False
ILCA Nationals 2026,https://www.laser.org.za/events/318895,2026-04-30,2026-05-03,18:00:00,18:00:00,"Mykonos, Langebaan, 7357",,Mykonos,"Mykonos, Langebaan, 7357","Mykonos, Langebaan, 7357",,,,,"The early entry fee of R1 400 (or R1 000 for sailors born in 2002 or later) applies if it is received on or before the 24th April. If not, you will be due the full late entry fee of R1 800 (or R1 400 for sailors born in 2002 or later).",Marketing@clubmykonos.co.za,,,laser_org_za,318895,False
2026 KZN Optimist &amp; Dabchick Regional Championship,https://www.sailing.org.za/events/344420,2026-05-01,2026-05-03,09:00:00,16:00:00,Midmar Dam Howick 3290,,Midmar Dam Howick 3290,Midmar Dam Howick 3290,Midmar Dam Howick 3290,,,,,This event has no description.,info@sailing.org.za,,344420,,,False
Regional Race Officer Workshop,https://www.sailing.org.za/events/344920,2026-05-14,2026-05-12,17:30:00,23:00:00,Teams,,Teams,Teams,Teams,,,,,Details Register Regional Race Officer Workshop Thu 14 May 2026 17:30 - 19:30 Teams Google &middot; Outlook &middot; iCal South African Sailing - RO-Lv2:Regional Race Officer,info@sailing.org.za,,344920,,,False
2026 KZN Mirror Regional Championships,https://www.sailing.org.za/events/344422,2026-05-16,2026-05-17,08:00:00,15:00:00,"3 Maritime Pl, Harbour, Durban, 4001",,3 Maritime Pl,"3 Maritime Pl, Harbour, Durban, 4001","3 Maritime Pl, Harbour, Durban, 4001",,,,,This event has no description.,info@sailing.org.za,,344422,,,False
National Race Officers Workshop,https://www.sailing.org.za/events/344922,2026-05-21,2026-05-19,17:30:00,12:00:00,Teams,,Teams,Teams,Teams,https://view.officeapps.live.com/op/view.aspx?src=https%3A%2F%2Fcdn.revolutionise.com.au%2Fsite%2Fbnassvau8cdnnor4.pptx&amp;wdOrigin=BROWSELINK,,,,Details Register National Race Officers Workshop Thu 21 May 2026 17:30 - 19:00 Teams Google &middot; Outlook &middot; iCal South African Sailing - RO-Lv3:National Race Officer,info@sailing.org.za,,344922,,,False
2026 DF95 / IOM Regional Championship,https://www.sailing.org.za/events/343816,2026-05-22,2026-05-24,09:00:00,16:00:00,Doornpoort AH 312-Js Emalahleni 1035,,Doornpoort AH 312-Js Emalahleni 1035,Doornpoort AH 312-Js Emalahleni 1035,Doornpoort AH 312-Js Emalahleni 1035,,,,,This event has no description.,info@sailing.org.za,,343816,,,False
ORC EC Regionals,https://www.sailing.org.za/events/336455,2026-05-23,2026-05-27,09:00:00,09:00:00,"Yacht Mole Durban, Harbour, Durban, 4001",,Yacht Mole Durban,"Yacht Mole Durban, Harbour, Durban, 4001","Yacht Mole Durban, Harbour, Durban, 4001",,,,,Event information ORC EC Regionals 23-27 May 2026 Files for download 2026 ORC EC Regionals 2 PM &copy; 2026 South African Sailing,info@sailing.org.za,,336455,,,False
